visit_id,product_id
1,1001244
1,1006784
1,1020104
10,1021675
100004,1001239
100004,1001244
100004,1001245
100009,1001866
100009,1019114
100019,1022543
100033,1027372
100040,1020642
100040,1025296
100047,1011379
100047,1011718
100047,1017383
100048,1004183
100048,1004186
100048,1007151
100049,1025750
100080,1026094
100080,1026242
100085,1006823
100085,1012616
100087,1011897
100087,1026553
100090,1014051
100090,1014063
100092,1010359
100092,1010364
100092,1010415
100092,1021032
1001,1003839
100101,1014543
100101,1017629
100101,1024554
100103,1025532
100103,1026176
100107,1001680
100118,1026931
100119,1010167
10012,1006258
100125,1009474
100125,1009478
100138,1005905
100149,1002983
100152,1016624
100156,1008268
100156,1011379
100156,1011718
10017,1001782
10017,1002391
10017,1003498
10017,1017303
10017,1021675
100170,1026065
100170,1026072
100172,1014051
100173,1006583
100174,1026576
100176,1010693
100176,1026432
100177,1007834
100177,1017767
100177,1017768
100178,1014802
100178,1016946
100178,1026929
100186,1013674
100188,1015443
1002,1026091
100216,1024457
100222,1006784
100224,1009617
100224,1009618
100224,1009624
100224,1009625
100224,1009628
100224,1010280
100224,1018895
100224,1019369
100224,1024405
100224,1026232
100225,1014548
100225,1017629
100225,1024379
100226,1001239
100226,1001244
100226,1020104
100232,1014588
100232,1014592
100244,1018437
100247,1007488
100247,1007891
100247,1013505
100247,1026589
100247,1026628
10025,1014588
10025,1014592
10025,1014788
100259,1024200
100259,1026123
100270,1023764
100271,1018156
100280,1009773
100290,1003624
100296,1024884
100296,1026706
100296,1026707
10030,1026316
10030,1026701
100309,1027266
100309,1027267
100312,1006784
100312,1017975
100316,1004078
100316,1011897
100316,1027299
100327,1026072
100327,1026079
100329,1006823
100334,1025750
100340,1025022
100340,1025750
100344,1010781
100348,1007599
10035,1001249
10035,1001251
100356,1026852
100356,1026884
100357,1002680
100357,1020431
100367,1024897
100367,1026703
100367,1027102
100372,1009902
100372,1016753
100377,1007123
100377,1007599
100377,1020290
100377,1020954
100378,1026985
100380,1027295
100396,1004532
100396,1004545
100397,1013722
100397,1013725
100397,1027484
100398,1017554
1004,1009086
1004,1019508
100404,1012932
100406,1026127
100406,1026242
100408,1025919
100408,1025920
100423,1009773
100425,1006338
100427,1001200
100427,1001203
100439,1006609
10044,1001249
10044,1001251
100441,1027372
100442,1006703
100443,1020941
100444,1006277
100444,1015937
100444,1020514
100449,1017452
100449,1017552
100449,1018392
100449,1020441
100449,1023599
100449,1024264
100449,1024721
100449,1024722
100449,1024724
100449,1024728
100449,1024729
100449,1024730
100449,1024733
100449,1024736
100449,1024739
100449,1024747
100449,1025253
100449,1026424
100449,1026586
100449,1026984
10045,1026563
